avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,activity
32,4.85,17.5,3.35,22.5,3.2,1
40.5,1.12,14,2.24,21.75,1.3,1
40.5,2.6,11.33,4.5,18.25,5.31,1
34.5,1.5,20.67,2.87,19,2.83,1
34.5,1.5,21.25,3.27,18.25,4.38,1
32.25,2.86,21.5,2.29,23.5,2.6,1
35.75,4.44,13,3.94,22.75,1.79,1
41.5,1.12,13,2.94,19.75,1.79,1
39.75,3.27,8.5,7.5,20,2.45,1
30.75,2.49,20.25,4.92,16.33,5.25,1
32.75,0.43,17.75,3.27,20.5,6.06,1
32.75,2.17,19,4.06,21,3.67,1
32.25,6.18,16.5,4.72,22.75,3.03,1
41.25,0.83,14.25,3.9,22.25,1.3,1
42.33,2.49,14,4.42,18,2.45,1
34.25,1.79,20.5,4.56,19.5,2.69,1
33,0,16,6.68,19.75,2.68,1
32.25,3.27,19.5,3.35,22,3.67,1
36.75,4.97,14,1.63,23.25,1.79,1
42.75,0.83,17.5,4.09,21.75,0.83,1
43.25,2.49,14.25,5.76,15.25,3.49,1
34.5,3.35,11.25,7.89,15,5.43,1
33.75,1.3,19.25,1.79,16.75,4.02,1
32.75,3.27,18.75,2.49,19,5.7,1
35.75,4.44,17.33,4.64,21,4.55,1
40.75,1.09,11.8,2.93,21.2,2.4,1
42.25,0.43,18,0,20,0.82,1
38.75,3.9,10,3.32,16.75,1.09,1
34.75,1.79,18.75,3.9,18.75,1.3,1
35,1.41,21.75,2.49,18,3.27,1
31,3.85,21.5,2.87,24,2.53,1
38,5.66,17,3.56,21,3,1
41,0.82,13,5.89,20.5,3.04,1
42.75,2.28,16.25,3.03,18.25,3.9,1
33.25,3.63,15.75,3.9,18.67,3.09,1
33.75,1.3,23.33,0.94,11.67,7.76,1
33.25,2.77,17.5,2.6,22,1,1
36.75,3.9,19.5,3.2,20.75,3.83,1
41,1.58,14,2.94,21.25,2.59,1
41.25,1.92,15,3.56,19,1.41,1
35.25,2.49,18.5,4.15,16.25,3.56,1
35.5,1.5,24,0,17.5,2.5,1
31.25,1.09,19,1.22,23,0.71,1
34,2.12,21,3,24.67,3.3,1
40,2.83,19.25,4.82,21.67,4.11,1
39.25,0.43,18,3.67,19,5.1,1
44.5,0.87,16,2.12,19.33,2.36,1
38.5,4.15,18.5,2.29,14.25,4.82,1
34,1.41,22.33,0.94,15.75,4.44,1
34.67,1.25,16.33,0.94,22.75,1.09,1
37,1.41,18,1.63,24.5,2.29,1
39,1.87,14.75,3.63,18.75,3.27,1
35.75,2.77,12.25,3.63,15.25,1.64,1
31.75,4.02,13.5,1.5,18.5,3.2,1
43.25,2.05,19.75,2.17,14.75,2.17,1
42,1.22,17.5,1.5,19.5,2.87,1
35.25,2.49,12.5,8.05,19.5,1.12,1
31,1.22,19,2.83,19.75,1.79,1
35,3.81,17.5,6.06,20.5,2.29,1
35.25,3.77,16.67,2.36,20.5,0.87,1
35.25,2.49,15.33,2.05,19.75,2.68,1
42.5,2.5,17.75,3.11,18,4.95,1
37.75,2.77,14.5,6.06,15.5,5.89,1
33.75,1.3,18.33,0.47,16.33,4.99,1
34,2,17,0.71,20.5,1.5,1
33.25,3.49,16.25,3.03,22.75,1.79,1
38.25,1.48,10.67,6.6,20.67,0.47,1
38.25,2.49,15,3.56,16,2.12,1
43.67,1.25,17,0.82,19.67,3.4,1
39.67,1.7,16.5,3.35,14,1,1
34.5,1.5,18.75,2.28,14,4.06,1
35.25,2.49,20.25,0.83,21,3.67,1
35.75,3.34,18,5.72,21.75,1.3,1
37.5,1.5,15.75,2.17,20.75,1.79,1
40.5,1.66,15,2.12,21,2.12,1
43,1.58,12.5,4.77,17.5,3.91,1
37.67,1.25,18,2.16,15.67,4.92,1
35.25,1.3,19.75,2.77,13.5,7.3,1
34.5,1.5,20.5,0.5,21.25,1.79,1
31.25,6.61,18.67,4.19,23,2.55,1
37.75,1.92,17.5,2.6,20,1.87,1
41.5,2.87,11.75,4.92,20.25,3.77,1
40.67,3.09,16,2.94,16.5,1.5,1
36.25,0.43,16.75,5.17,15.25,5.45,1
33,0,21.33,2.49,7,1,1
37.67,3.4,16,4.06,22.33,0.47,1
36.5,5.5,12,6.04,19.75,2.59,1
39.25,1.09,12.5,2.29,21,1.41,1
44,1,17,1.22,17.67,4.03,1
36,0,18.25,1.79,19.67,1.25,1
35.25,1.3,19.25,5.07,16.5,6.69,1
34.25,1.3,19.75,1.79,16,4.18,1
33.75,1.3,16.75,2.05,22.5,1.12,1
31.75,4.49,21,1.87,22.25,2.28,1
38.33,1.7,16.67,1.25,22,1.58,1
40.25,2.05,13,1.58,20.25,0.83,1
43.25,2.49,12.75,2.49,19,1.87,1
