avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,activity
29,0,9,0.71,8.5,0.5,0
29,0,8,0.71,8.5,0.5,0
29,0,8,0.71,8,1,0
28.5,0.5,8.25,0.43,8.75,0.43,0
29,0,8.75,1.09,9,0,0
29,0,8.75,1.09,9,0,0
29,0,8.75,1.09,9,0,0
29,0,8.53,0.62,8.8,0.54,0
29,0,8.53,0.62,8.8,0.54,0
29,0,8.5,0.5,8.5,0.5,0
29,0,7.25,0.43,8.75,0.43,0
29,0,7.25,0.43,9,0,0
29,0,7,0,8.75,0.43,0
29,0,7.33,0.47,8.67,0.47,0
29,0,8.5,0.5,8.75,0.43,0
29,0,8.5,0.5,9,0,0
29,0,7.5,0.5,8.67,0.47,0
29,0,7.75,0.43,8.5,0.5,0
29,0,6.67,0.94,8.5,0.5,0
29,0,6.5,0.5,8.5,0.5,0
29,0,6.5,0.87,9.25,0.43,0
28.75,0.43,6.75,0.83,9,0,0
28.75,0.43,7.25,0.83,9,0,0
28.75,0.43,7.25,1.09,9,0,0
29,0,6.67,0.47,9,0,0
29,0,7,0.71,8.5,0.5,0
28.75,0.43,8,0.82,9,0,0
29,0,8,1,8.5,0.5,0
29,0,7.2,1.17,8.5,0.5,0
29,0,7.75,1.09,9,0,0
29,0,4.67,0.47,9.75,1.3,0
29,0,4,1.63,11,0.82,0
28.75,0.43,5,0,10,1,0
29,0,3,0.82,7.5,0.87,0
29,0,4,0,4.75,1.3,0
29,0,6,2,9,3.54,0
28.5,0.5,4.75,1.3,9.25,2.17,0
29,0,6,2.45,5.75,1.48,0
29,0,6.25,2.68,7.5,1.5,0
29,0,8.5,1.8,9.25,0.43,0
28.75,0.43,7,2.12,11,1.22,0
29,0,7.25,1.3,10.75,1.09,0
29,0,6.67,0.47,11.67,0.47,0
29.25,0.43,5,2.16,10.67,1.25,0
29,0,6.25,1.3,11.25,0.83,0
29,0,4,1,9.67,0.47,0
29.5,0.5,5.6,0.8,10.4,1.02,0
29.75,0.43,6,0,10,0.82,0
29.75,0.43,5.5,0.87,11.5,0.5,0
29.33,0.47,6.25,0.83,12,0,0
29,0,7.75,0.83,11.75,0.43,0
28.75,0.43,8.25,0.83,11.75,0.43,0
28.67,0.47,8.33,0.47,11.25,0.83,0
28.5,0.5,8.75,0.43,11.25,0.43,0
28.67,0.47,8,0.82,11.5,0.5,0
28.75,0.43,6.5,1.12,11,1.22,0
29.75,0.43,6.5,1.8,12.25,0.43,0
29,0,6,0.71,12,0,0
29.25,0.43,3.67,0.47,11.5,1.8,0
29.5,0.87,3,2.16,11.75,1.09,0
28.5,0.87,5,2.55,12,0,0
28.5,1.12,7,2.12,11,0.71,0
27.75,0.83,7,2,9.67,0.94,0
26.5,0.5,7.33,2.36,11.5,0.5,0
26.5,0.87,7.33,1.25,12.25,1.09,0
27,0,6.5,3.57,10.25,1.3,0
26,0.82,5,1,9,1.41,0
26.67,0.47,8,0.82,8,0.71,0
28.25,0.43,8,3,6.33,1.25,0
28,0.71,4.25,1.48,7.25,1.48,0
29.5,0.5,0,0,8,1.87,0
29.75,0.43,3.5,1.5,9.5,0.87,0
29.25,1.3,4.67,2.87,9.5,1.5,0
26.25,1.48,2.5,1.12,10.25,1.09,0
27,0,5.33,3.3,6.75,2.59,0
27,0,11.75,0.43,6.75,1.3,0
27.25,0.43,10.75,1.09,6.5,1.12,0
27.25,0.43,10.25,0.83,6,0.71,0
28.5,1.12,6.25,1.09,6.25,1.48,0
27.5,0.87,4.5,1.5,7.33,1.25,0
26.75,0.43,3,0.82,10,1,0
26.5,0.5,4.33,0.47,10.33,0.47,0
25.75,0.83,0,0,9.33,1.25,0
27,0,10,1,7.25,1.79,0
25.75,0.83,3.5,0.5,8.5,0.5,0
27,0,7.75,1.09,9.33,0.47,0
27,0,3,0,10.33,0.94,0
25.25,0.83,4,0.82,9.5,1.12,0
