,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,activity
0,32.0,4.85,17.5,3.35,22.5,3.2,1
1,40.5,1.12,14.0,2.24,21.75,1.3,1
2,40.5,2.6,11.33,4.5,18.25,5.31,1
3,34.5,1.5,20.67,2.87,19.0,2.83,1
4,34.5,1.5,21.25,3.27,18.25,4.38,1
0,46.5,0.5,11.5,0.5,20.33,0.94,0
1,46.5,0.5,12.0,0.0,20.25,0.43,0
2,46.5,0.5,12.0,0.0,20.5,0.5,0
3,46.5,0.5,12.75,0.43,19.5,0.5,0
4,46.5,0.5,13.25,0.43,18.75,0.43,0
5,46.5,0.5,13.5,0.5,19.0,1.0,0
6,46.5,0.5,13.25,0.43,19.0,0.71,0
7,46.67,0.47,12.25,0.43,19.67,0.47,0
8,46.5,0.5,12.0,0.0,19.5,0.5,0
9,46.5,0.5,12.0,0.0,19.33,1.25,0
5,32.25,2.86,21.5,2.29,23.5,2.6,1
6,35.75,4.44,13.0,3.94,22.75,1.79,1
7,41.5,1.12,13.0,2.94,19.75,1.79,1
8,39.75,3.27,8.5,7.5,20.0,2.45,1
9,30.75,2.49,20.25,4.92,16.33,5.25,1
10,32.75,0.43,17.75,3.27,20.5,6.06,1
11,32.75,2.17,19.0,4.06,21.0,3.67,1
12,32.25,6.18,16.5,4.72,22.75,3.03,1
13,41.25,0.83,14.25,3.9,22.25,1.3,1
14,42.33,2.49,14.0,4.42,18.0,2.45,1
15,34.25,1.79,20.5,4.56,19.5,2.69,1
16,33.0,0.0,16.0,6.68,19.75,2.68,1
17,32.25,3.27,19.5,3.35,22.0,3.67,1
18,36.75,4.97,14.0,1.63,23.25,1.79,1
19,42.75,0.83,17.5,4.09,21.75,0.83,1
10,46.5,0.5,12.0,0.0,20.0,0.82,0
11,46.5,0.5,11.25,0.43,20.0,0.0,0
12,46.67,0.47,11.0,0.0,20.33,0.47,0
13,46.0,0.63,10.75,0.43,20.2,0.75,0
14,46.67,0.47,11.0,0.0,20.67,0.47,0
15,46.5,0.5,11.5,0.5,20.5,0.5,0
16,46.33,0.47,12.0,0.0,20.5,0.5,0
17,46.5,0.5,12.0,0.0,20.25,0.43,0
18,46.25,0.43,12.0,0.0,20.25,0.83,0
19,46.0,0.0,12.0,0.0,20.25,0.43,0
20,43.25,2.49,14.25,5.76,15.25,3.49,1
21,34.5,3.35,11.25,7.89,15.0,5.43,1
22,33.75,1.3,19.25,1.79,16.75,4.02,1
23,32.75,3.27,18.75,2.49,19.0,5.7,1
24,35.75,4.44,17.33,4.64,21.0,4.55,1
25,40.75,1.09,11.8,2.93,21.2,2.4,1
26,42.25,0.43,18.0,0.0,20.0,0.82,1
27,38.75,3.9,10.0,3.32,16.75,1.09,1
28,34.75,1.79,18.75,3.9,18.75,1.3,1
29,35.0,1.41,21.75,2.49,18.0,3.27,1
20,46.5,0.5,12.0,0.0,18.33,0.47,0
21,46.5,0.5,13.25,0.83,17.5,0.5,0
22,46.5,0.5,13.25,0.83,13.5,1.5,0
23,46.5,0.5,12.0,0.0,11.0,1.41,0
24,46.5,0.5,11.0,0.0,10.25,1.48,0
30,31.0,3.85,21.5,2.87,24.0,2.53,1
31,38.0,5.66,17.0,3.56,21.0,3.0,1
32,41.0,0.82,13.0,5.89,20.5,3.04,1
33,42.75,2.28,16.25,3.03,18.25,3.9,1
34,33.25,3.63,15.75,3.9,18.67,3.09,1
25,46.67,0.47,11.0,0.82,14.75,0.83,0
26,46.25,0.83,16.33,1.25,20.0,1.41,0
27,46.25,0.83,18.25,0.43,19.75,1.3,0
28,46.0,0.82,18.75,0.43,18.67,0.94,0
29,46.5,0.5,18.0,0.71,21.0,0.71,0
35,33.75,1.3,23.33,0.94,11.67,7.76,1
36,33.25,2.77,17.5,2.6,22.0,1.0,1
37,36.75,3.9,19.5,3.2,20.75,3.83,1
38,41.0,1.58,14.0,2.94,21.25,2.59,1
39,41.25,1.92,15.0,3.56,19.0,1.41,1
40,35.25,2.49,18.5,4.15,16.25,3.56,1
41,35.5,1.5,24.0,0.0,17.5,2.5,1
42,31.25,1.09,19.0,1.22,23.0,0.71,1
43,34.0,2.12,21.0,3.0,24.67,3.3,1
44,40.0,2.83,19.25,4.82,21.67,4.11,1
30,46.4,0.49,12.0,1.87,19.4,1.36,0
31,46.75,0.43,11.75,0.43,16.25,2.05,0
32,47.0,0.0,12.0,0.0,13.0,0.0,0
33,46.75,0.43,9.75,0.83,12.5,1.5,0
34,46.5,0.5,11.0,1.58,16.5,1.12,0
45,39.25,0.43,18.0,3.67,19.0,5.1,1
46,44.5,0.87,16.0,2.12,19.33,2.36,1
47,38.5,4.15,18.5,2.29,14.25,4.82,1
48,34.0,1.41,22.33,0.94,15.75,4.44,1
49,34.67,1.25,16.33,0.94,22.75,1.09,1
35,46.75,0.43,16.0,1.0,20.0,1.41,0
36,46.33,0.47,18.0,0.0,22.0,0.71,0
37,46.5,0.5,17.0,1.22,22.0,0.71,0
38,47.0,0.0,13.0,1.41,19.25,1.3,0
39,47.25,0.43,11.67,0.47,14.25,1.09,0
40,47.0,0.0,11.67,0.47,7.75,2.49,0
41,47.25,0.43,9.75,0.43,7.75,3.34,0
42,47.0,0.71,11.0,1.22,13.5,2.96,0
43,46.75,0.43,12.0,1.87,18.0,1.22,0
44,46.5,0.5,16.0,0.82,21.0,0.82,0
50,37.0,1.41,18.0,1.63,24.5,2.29,1
51,39.0,1.87,14.75,3.63,18.75,3.27,1
52,35.75,2.77,12.25,3.63,15.25,1.64,1
53,31.75,4.02,13.5,1.5,18.5,3.2,1
54,43.25,2.05,19.75,2.17,14.75,2.17,1
55,42.0,1.22,17.5,1.5,19.5,2.87,1
56,35.25,2.49,12.5,8.05,19.5,1.12,1
57,31.0,1.22,19.0,2.83,19.75,1.79,1
58,35.0,3.81,17.5,6.06,20.5,2.29,1
59,35.25,3.77,16.67,2.36,20.5,0.87,1
45,46.5,0.5,17.6,0.49,22.6,0.8,0
46,46.5,0.5,15.0,0.82,20.67,0.47,0
47,47.0,0.0,12.25,0.43,16.75,1.64,0
48,46.75,0.43,16.5,1.12,14.75,1.3,0
49,46.67,0.47,16.25,0.43,12.33,3.4,0
50,45.5,0.5,12.75,2.49,17.0,0.71,0
51,45.0,0.0,4.5,2.5,17.0,1.22,0
52,45.0,0.0,15.5,2.5,17.75,1.09,0
53,45.0,0.0,16.5,1.66,20.5,0.87,0
54,46.5,0.5,13.75,1.48,20.25,1.3,0
60,35.25,2.49,15.33,2.05,19.75,2.68,1
61,42.5,2.5,17.75,3.11,18.0,4.95,1
62,37.75,2.77,14.5,6.06,15.5,5.89,1
63,33.75,1.3,18.33,0.47,16.33,4.99,1
64,34.0,2.0,17.0,0.71,20.5,1.5,1
65,33.25,3.49,16.25,3.03,22.75,1.79,1
66,38.25,1.48,10.67,6.6,20.67,0.47,1
67,38.25,2.49,15.0,3.56,16.0,2.12,1
68,43.67,1.25,17.0,0.82,19.67,3.4,1
69,39.67,1.7,16.5,3.35,14.0,1.0,1
70,34.5,1.5,18.75,2.28,14.0,4.06,1
71,35.25,2.49,20.25,0.83,21.0,3.67,1
72,35.75,3.34,18.0,5.72,21.75,1.3,1
73,37.5,1.5,15.75,2.17,20.75,1.79,1
74,40.5,1.66,15.0,2.12,21.0,2.12,1
75,43.0,1.58,12.5,4.77,17.5,3.91,1
76,37.67,1.25,18.0,2.16,15.67,4.92,1
77,35.25,1.3,19.75,2.77,13.5,7.3,1
78,34.5,1.5,20.5,0.5,21.25,1.79,1
79,31.25,6.61,18.67,4.19,23.0,2.55,1
80,37.75,1.92,17.5,2.6,20.0,1.87,1
81,41.5,2.87,11.75,4.92,20.25,3.77,1
82,40.67,3.09,16.0,2.94,16.5,1.5,1
83,36.25,0.43,16.75,5.17,15.25,5.45,1
84,33.0,0.0,21.33,2.49,7.0,1.0,1
85,37.67,3.4,16.0,4.06,22.33,0.47,1
86,36.5,5.5,12.0,6.04,19.75,2.59,1
87,39.25,1.09,12.5,2.29,21.0,1.41,1
88,44.0,1.0,17.0,1.22,17.67,4.03,1
89,36.0,0.0,18.25,1.79,19.67,1.25,1
90,35.25,1.3,19.25,5.07,16.5,6.69,1
91,34.25,1.3,19.75,1.79,16.0,4.18,1
92,33.75,1.3,16.75,2.05,22.5,1.12,1
93,31.75,4.49,21.0,1.87,22.25,2.28,1
94,38.33,1.7,16.67,1.25,22.0,1.58,1
95,40.25,2.05,13.0,1.58,20.25,0.83,1
96,43.25,2.49,12.75,2.49,19.0,1.87,1
97,36.75,1.3,17.5,5.77,17.75,6.8,1
98,33.75,1.3,19.5,2.69,21.33,0.47,1
99,35.25,2.49,17.75,2.17,20.75,2.38,1
100,34.0,5.66,22.0,0.82,21.75,3.77,1
101,37.5,2.6,18.0,3.08,22.75,2.49,1
102,40.25,1.3,15.75,2.95,22.25,1.09,1
103,42.5,2.29,18.33,2.49,17.0,6.16,1
104,37.0,1.73,15.0,4.95,14.5,3.5,1
105,35.25,1.3,20.25,2.59,15.25,6.26,1
106,31.75,7.36,16.67,3.86,21.0,2.94,1
107,39.25,2.05,17.75,5.17,22.75,1.3,1
