avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,activity
46.5,0.5,11.5,0.5,20.33,0.94,0
46.5,0.5,12,0,20.25,0.43,0
46.5,0.5,12,0,20.5,0.5,0
46.5,0.5,12.75,0.43,19.5,0.5,0
46.5,0.5,13.25,0.43,18.75,0.43,0
46.5,0.5,13.5,0.5,19,1,0
46.5,0.5,13.25,0.43,19,0.71,0
46.67,0.47,12.25,0.43,19.67,0.47,0
46.5,0.5,12,0,19.5,0.5,0
46.5,0.5,12,0,19.33,1.25,0
46.5,0.5,12,0,20,0.82,0
46.5,0.5,11.25,0.43,20,0,0
46.67,0.47,11,0,20.33,0.47,0
46,0.63,10.75,0.43,20.2,0.75,0
46.67,0.47,11,0,20.67,0.47,0
46.5,0.5,11.5,0.5,20.5,0.5,0
46.33,0.47,12,0,20.5,0.5,0
46.5,0.5,12,0,20.25,0.43,0
46.25,0.43,12,0,20.25,0.83,0
46,0,12,0,20.25,0.43,0
46.5,0.5,12,0,18.33,0.47,0
46.5,0.5,13.25,0.83,17.5,0.5,0
46.5,0.5,13.25,0.83,13.5,1.5,0
46.5,0.5,12,0,11,1.41,0
46.5,0.5,11,0,10.25,1.48,0
46.67,0.47,11,0.82,14.75,0.83,0
46.25,0.83,16.33,1.25,20,1.41,0
46.25,0.83,18.25,0.43,19.75,1.3,0
46,0.82,18.75,0.43,18.67,0.94,0
46.5,0.5,18,0.71,21,0.71,0
46.4,0.49,12,1.87,19.4,1.36,0
46.75,0.43,11.75,0.43,16.25,2.05,0
47,0,12,0,13,0,0
46.75,0.43,9.75,0.83,12.5,1.5,0
46.5,0.5,11,1.58,16.5,1.12,0
46.75,0.43,16,1,20,1.41,0
46.33,0.47,18,0,22,0.71,0
46.5,0.5,17,1.22,22,0.71,0
47,0,13,1.41,19.25,1.3,0
47.25,0.43,11.67,0.47,14.25,1.09,0
47,0,11.67,0.47,7.75,2.49,0
47.25,0.43,9.75,0.43,7.75,3.34,0
47,0.71,11,1.22,13.5,2.96,0
46.75,0.43,12,1.87,18,1.22,0
46.5,0.5,16,0.82,21,0.82,0
46.5,0.5,17.6,0.49,22.6,0.8,0
46.5,0.5,15,0.82,20.67,0.47,0
47,0,12.25,0.43,16.75,1.64,0
46.75,0.43,16.5,1.12,14.75,1.3,0
46.67,0.47,16.25,0.43,12.33,3.4,0
45.5,0.5,12.75,2.49,17,0.71,0
45,0,4.5,2.5,17,1.22,0
45,0,15.5,2.5,17.75,1.09,0
45,0,16.5,1.66,20.5,0.87,0
46.5,0.5,13.75,1.48,20.25,1.3,0
47.25,0.43,15.5,0.87,17.25,0.83,0
47.5,0.5,16.75,1.09,16,2.55,0
47.5,0.5,14,2.45,12,3.67,0
47.5,0.5,12.5,2.5,11.25,0.83,0
46.5,0.5,11,3.54,13.25,1.3,0
46,1,6.5,3.64,18.25,2.17,0
45.5,0.5,13.67,1.25,21.25,1.09,0
45.5,0.5,14,1,22,0.71,0
45.5,0.5,12.25,0.43,20,1.22,0
46,0,4.67,1.25,17,1.22,0
46.5,0.5,10.33,1.25,11.33,1.25,0
46.5,0.5,8.25,1.3,15.25,0.83,0
46.5,0.5,9,2.16,19.75,0.83,0
46,0.71,14.75,0.43,20.5,0.87,0
46,0.82,17.5,0.87,21.33,0.47,0
45.5,0.5,18,0,20.75,0.43,0
46,0.82,15,0,18.5,0.5,0
46.5,0.5,8.75,3.96,17,1.22,0
46.75,0.43,10.5,2.6,16,0.71,0
46.5,0.5,11.5,2.18,16.75,0.43,0
45.75,0.83,9.5,2.06,14.75,1.09,0
45.25,0.43,12.25,0.43,17.75,0.43,0
45,0,15,0.71,17.5,0.5,0
45,0,13.75,1.3,17.25,1.3,0
45.25,0.43,6.67,3.3,16.75,1.09,0
46.25,0.43,2,0,14.75,0.43,0
46.25,0.83,4,0,16,2.55,0
45.5,0.5,14,0.82,19.5,0.87,0
45,0,13.67,0.47,20,0.82,0
45,0,11.67,0.47,19.33,0.47,0
45,0,11.6,0.8,17.5,0.5,0
45,0,11.75,0.43,17.75,0.43,0
45.33,0.47,13,0.82,17.5,0.5,0
45.75,0.83,12,0,19.25,0.83,0
45.75,0.83,12.75,0.43,19,0.71,0
45,0,12,0,19.25,0.83,0
45.5,0.5,6.5,3.84,19,1,0
47,0.71,11.25,1.3,17.5,0.87,0
46.75,0.83,5,0,17,1.41,0
46,0.71,11.33,1.7,18.25,0.43,0
45.5,0.5,12,0,18.67,0.94,0
46.25,0.43,12,0,21.25,0.43,0
46.67,0.47,10,1,22,1,0
46.5,0.5,3.5,0.5,22.25,0.43,0
45.67,0.94,7.67,1.89,21.25,0.43,0
45.33,0.47,12,0,20,1,0
45,0,8.5,2.96,17.5,1.5,0
45.75,0.43,4.33,3.4,17,0.71,0
46.5,0.5,11,0.82,16.25,0.83,0
46.5,0.5,11.5,0.87,15.5,0.87,0
45.75,0.83,6,0,17.25,0.83,0
45,0,11,1,19.25,0.83,0
45,0,12.5,0.5,18,0,0
45,0,12,0,18.5,0.5,0
45,0,12.33,0.47,19.33,1.25,0
45.75,0.43,12.5,0.5,20.5,0.87,0
46.75,0.43,9.5,2.5,18,0,0
47,0,14,0.71,17.25,1.48,0
47,0,13,1,17.25,0.83,0
46.67,0.47,6.67,4.11,19,1.41,0
46.5,0.5,12.5,0.5,19.75,0.83,0
45.25,0.43,12.25,0.43,17.5,0.87,0
45,0,12,0,17.75,1.48,0
45.5,0.5,10.75,2.17,19.75,0.43,0
45.75,0.43,10,5.79,15.5,0.5,0
47.25,0.43,13.33,1.25,17.25,0.83,0
47.5,0.5,11.75,1.09,17,0.71,0
46,0.71,8,0.82,13.75,1.3,0
45.75,0.43,8,0.71,15,1.41,0
46.5,0.5,2.67,1.7,15.5,0.5,0
46.75,0.43,7,0,14.67,1.25,0
46.5,0.5,4,2,16.25,0.43,0
46.5,0.5,2,0,18,0,0
