avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,activity
35,3.67,16.5,3.77,14,1.63,0
28.5,3.35,17.5,3.77,12.25,3.9,0
35.5,2.87,15.75,2.86,17.75,5.07,0
29.75,12.19,16.25,2.17,20.75,2.59,0
27,2.12,16.75,0.83,24.75,1.64,0
36,5.61,12.25,2.28,19.25,2.68,0
38.5,4.33,16,5.7,15.25,2.38,0
35.25,2.49,16,1.41,15,2.83,0
35.75,7.05,11,4.42,12.5,8.08,0
36,7.04,15,2.12,16.75,4.02,0
23.75,5.49,12.33,2.05,16.75,5.31,0
37,5.05,16.67,2.36,17,1.41,0
39.5,2.18,20.67,2.05,15.67,6.13,0
36.5,2.29,21.33,1.89,12,2.45,0
31.5,7.23,17.25,5.07,15,3.54,0
33,5.72,20.25,0.83,14.33,9.74,0
30.4,2.33,19.5,2.06,22.2,3.31,0
37.5,4.97,12,4.74,13.25,3.03,0
41.33,0.94,18.5,4.09,11.67,7.76,0
38.5,0.5,19,2,16.5,1.5,0
38.5,0.5,19,2,16.5,1.5,0
36.15,3.74,16.5,4.17,14.69,6.12,0
36.15,3.74,16.5,4.17,14.69,6.12,0
32,2.74,17.67,3.68,15,2.16,0
41.25,3.77,15.25,1.79,17.5,1.5,0
38.5,0.5,15.5,3.28,18.5,1.12,0
36,3.67,14.5,2.18,16.75,2.38,0
40.75,6.38,12.25,6.61,14,5.52,0
28.5,1.12,15.25,4.09,14.25,5.12,0
25.25,3.63,14.67,4.92,16.67,1.89,0
39,3.54,16.75,3.27,19.25,2.38,0
29.25,5.67,13,5.83,16,1.22,0
25.67,4.19,17.67,2.05,17.5,3.5,0
39,3.54,13.75,2.59,18.75,1.79,0
30,0.71,14,2.92,19,4.06,0
24.5,3.57,15.5,3.35,16.25,6.3,0
38.25,5.8,12,2.55,18,2.74,0
37.5,1.5,15.33,1.25,18,1.63,0
35.33,1.7,16,1.41,17.25,3.56,0
40.25,3.63,13.75,5.31,15.25,5.67,0
33.75,6.53,5.5,4.15,16.25,4.55,0
31.75,1.3,16.75,5.17,12.75,8.26,0
36.75,3.34,14.75,2.17,16.5,3.84,0
40.5,1.5,17.75,3.11,17,2.45,0
37.75,1.09,16.75,3.49,22,2.35,0
41,2.74,9.5,4.92,14.75,3.56,0
